URL,Found_Codewords
https://news.asu.edu/20251022-science-and-technology-campus-company-how-research-sparked-new-water-tech-startup,innovative
https://news.asu.edu/20251103-science-and-technology-smarter-fuel-pipelines-safer-communities,innovative
https://news.asu.edu/2025022-science-and-technology-asu-computer-scientists-ai-jobs-and-road-ahead,innovative
https://news.asu.edu/20251110-sun-devil-community-serving-those-who-are-built-serve,innovative
https://news.asu.edu/20251107-health-and-medicine-asu-researcher-importance-considering-sex-differences-health-studies,medicine
https://news.asu.edu/2025110%207-science-and-technology-asu-spinout-swift-coat-grows-named-manufacturer-year,innovative
https://news.asu.edu/20251104-local-national-and-global-affairs-asu-taiwan-strengthen-partnership-ties,"medicine, innovative"
https://news.asu.edu/20251027-local-national-and-global-affairs-predicting-new-era-security,innovative
https://news.asu.edu/20251009-local-national-and-global-affairs-adaptability-key-future-public-administration,innovative
https://news.asu.edu/20251103-sun-devil-community-asu-hosts-welcome-home-tribute-vietnam-veterans-during-salute-service,medicine
https://news.asu.edu/20250807-environment-and-sustainability-preparing-drier-future-colorado-river-basin,"breakthrough, innovative"
https://news.asu.edu/20251110-science-and-technology-former-nsf-director-aims-help-make-science-tech-more-accessible,medicine
https://news.asu.edu/20251030-business-and-entrepreneurship-thunderbird-asu-ranked-no-1-world-international-trade-fourth,innovative
https://news.asu.edu/20251026-arts-humanities-and-education-university-provost-leads-marching-band-game-day-performance,innovative
https://news.asu.edu/20251022-university-news-4-asu-faculty-earn-prestigious-presidents-professor-designation,medicine
